ced_id,rel_buddhism,rel_christianity,rel_hinduism,rel_islam,rel_other,rel_secular_spiritual,rel_none
CED494,38,796,18,33,34,1560,893
CED497,0,4,0,0,0,0,5
CED501,1870,70508,2128,1609,2075,88787,14504
CED502,5313,70882,7966,14499,4882,65840,12884
CED503,1423,67669,1043,870,1326,75499,12053
CED504,8983,82041,4272,11734,2571,57951,11553
CED505,4324,73690,2837,1768,1046,78377,10377
CED506,1939,76552,1058,1782,1502,85797,32719
CED507,1336,63257,625,930,765,78176,12839
CED508,2636,71457,2276,2053,1171,76425,10554
CED509,2487,72403,4352,3875,3306,75115,13056
CED510,1659,77679,1409,1402,764,73209,7776
CED511,1291,68003,689,1086,980,82359,21588
CED512,2957,75342,4804,3933,1707,78375,10255
CED513,6344,69586,4690,4226,1664,79715,13166
CED514,6851,72008,6690,10758,3560,75212,14624
CED515,8150,80920,7183,6169,2983,68584,9833
CED594,48,1550,23,57,40,2652,3674
CED597,11,124,4,11,0,144,227
CED601,1194,42654,2057,1204,1021,54126,7639
CED602,705,42779,719,473,530,55814,8482
CED603,2067,37665,4973,2276,1569,56296,6779
CED604,1040,43324,1494,668,769,57273,7194
CED605,583,47197,479,327,511,54799,9121
CED694,12,300,5,0,10,685,356
CED697,0,4,0,0,0,6,3
CED701,1521,52270,1415,1438,4187,43445,16641
CED702,3604,41247,4815,2665,1381,45307,11186
CED794,11,877,13,8,8,1121,1460
CED797,5,23,0,3,0,46,24
CED801,3344,65794,5361,3936,1722,64152,8104
CED802,4266,47855,4722,3051,1094,73716,10221
CED803,5080,60571,10420,7620,3262,63448,7761
CED894,8,161,5,14,3,265,143
CED897,0,0,0,0,0,0,0
CED994,0,3,0,4,0,0,3
CED997,0,0,0,0,0,0,0
