ced_id,job_science,job_infotech,job_engineering,job_architect_constr,job_agriculture,job_health,job_education,job_commerce,job_society_culture,job_creative_arts,job_food_hospitality,job_mixedfield,job_pos_manager,job_pos_professional,job_pos_technician,job_pos_community_service,job_pos_admin,job_pos_sales,job_pos_mach_operators,job_pos_labourer,jobs_pos_total
CED210,1599,1596,7149,4553,992,7904,4906,9725,7606,2415,2858,40,6633,16369,8171,7469,5676,2699,2429,3233,53535
CED211,2433,4209,8179,4016,1001,7220,5571,14765,7621,2853,2532,46,9493,22324,8124,6573,7818,3247,1557,2456,62549
CED212,1330,1592,7696,4847,1158,6721,5148,10496,7162,2238,2961,44,7628,14208,9614,6897,6315,3147,2017,2937,53606
CED213,1027,802,6210,4937,1493,5807,4850,8209,5799,1877,2837,31,7515,11988,8759,5817,4719,2595,1242,2561,45949
CED214,2356,4205,6848,2705,615,5882,3967,13616,8169,4117,3104,64,7466,19262,6548,6433,7143,3247,3381,3833,58506
CED215,2605,6694,10356,3536,730,6508,4878,18039,8016,3048,3274,44,11478,23763,7916,6863,8904,3587,3645,3033,70653
CED216,776,649,7895,3260,1927,5623,4171,6007,5583,1012,2744,25,5658,9999,7646,6158,4446,1974,2126,3101,41855
CED217,2815,3329,5891,3151,598,6914,4496,18637,8649,3618,1765,33,14929,25511,4445,4126,6725,3398,720,1279,62171
CED218,1821,3762,8712,3271,388,5483,4187,12881,6319,1627,3191,48,6382,14279,7867,6578,7866,3092,3746,3204,54212
CED219,1244,2183,8627,4119,965,4957,4868,9613,6809,1574,3074,51,5623,11050,9110,7468,6606,2742,3838,3162,50543
CED220,3513,4074,5867,3237,658,9084,4309,21722,10947,5463,2107,37,14840,33871,4515,4630,7845,4075,880,1718,73567
CED221,1565,3826,10163,3691,864,6645,3828,12297,7722,1461,3993,51,5843,12286,10211,9029,7370,3367,4987,4730,59038
CED222,3023,6023,9375,2830,594,6725,3909,16671,6920,2341,3458,92,7676,20409,8056,7148,7884,3823,3594,4936,64925
CED223,1075,736,7862,3833,2802,6915,5096,7930,6279,1330,3245,51,8068,11832,8461,7029,4986,2360,2338,3656,49494
CED224,2289,3192,7938,3853,801,6738,5285,14743,7188,2865,2514,47,10267,20028,7881,5786,7605,3302,1648,2213,59668
CED225,3095,3065,7699,3968,889,8127,5660,13657,8528,3480,2043,33,10743,24715,7343,5704,7240,2729,1254,1896,62452
CED226,3368,3899,6049,2846,670,9947,4430,19988,9766,3997,1539,60,14260,32289,3787,4098,7502,3593,691,1396,68718
CED227,1611,3169,9629,4545,1274,6902,5020,11791,7082,1713,3571,43,7538,14576,10313,7841,7234,3232,3489,3678,58959
CED228,2215,7726,10718,3335,741,6103,4092,15286,7385,1660,4029,63,6830,17514,8930,8930,8548,3823,6223,4347,66631
CED229,3335,4731,7113,4195,775,8455,4644,23515,13210,7275,3014,62,16435,36620,5917,6247,8676,4323,1175,2505,83383
CED230,754,523,6661,2768,4035,5934,4474,6746,5691,878,2973,81,7936,9897,6719,6315,4154,2088,2182,3951,44052
CED231,2619,2904,7047,3559,705,6957,5099,14803,8195,3576,2227,42,10408,23243,6196,5129,7638,2897,1494,2140,60134
CED232,1718,2137,9277,5058,1422,6594,5599,10224,7150,2013,3112,47,8049,15142,10276,7440,6726,2774,2556,2853,56765
CED233,5302,6845,8975,5149,1035,10527,4500,24356,16899,11048,3722,85,15597,49109,7267,8476,9908,5019,1526,3737,102279
CED234,2907,4817,7849,3298,631,7763,4325,17761,7028,2714,2320,47,11107,24348,6425,5389,7898,3904,1257,2199,63693
CED235,873,677,6924,3888,2168,5230,4496,6339,5624,1261,2617,34,6281,9945,7736,5885,4289,2230,1914,3244,42220
CED236,863,583,7450,2989,2742,6066,4278,6762,5674,826,3026,47,6941,10003,7436,6191,4133,2102,2146,4061,43766
CED237,1904,3649,7870,3288,509,5830,3763,11445,6616,1662,3288,55,5528,13505,8044,7269,6942,3246,3344,3561,52504
CED238,987,523,6434,3493,4083,6628,4745,6577,5820,1248,3178,29,8498,10933,7160,6356,4126,2120,2072,4134,46151
CED239,3449,3735,6922,3491,928,7270,4983,12869,11182,7110,2552,52,9642,27870,7037,6517,7554,3033,1828,2760,67315
CED294,43,52,188,89,35,141,59,225,178,77,67,0,133,313,192,156,89,64,81,181,1239
CED297,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,6
CED301,1122,1585,10089,3305,1275,6355,5030,11051,8243,1474,3697,127,6215,12268,9842,9191,7013,3101,3400,4226,56282
CED302,2018,2955,8995,3606,759,7547,5226,15993,7347,2721,2765,77,9845,22057,7450,5792,7941,3373,1946,2692,62030
CED303,1132,1386,9355,4381,960,5948,4651,11623,6492,1702,3220,63,7753,12926,9418,6680,7195,3050,2158,2935,52936
CED304,3318,4239,9705,4108,945,11927,4767,23992,13174,6393,3718,113,14896,38823,7099,7561,9670,4524,1667,3619,89106
CED305,863,641,12143,2723,1176,5470,4577,7565,4929,714,3060,98,4879,10509,10406,5833,4848,1903,4198,2954,46354
